"","X","site","site.block","mean.L","var.L","qnorm.L","mean.T","var.T","qnorm.T","NH4","N.N","P","N.ST","per.N.AT","trap.accumulation.rate","N","per.N.ST","fragment.ID","chlA.ugcm2","zoox.per.cm2","AFDW.mg.cm2."
"11",2,"A",2,1504.53110608304,664952.363224719,2625.19482397997,26.6331666666667,1.8908382840127,28.692,0.36,0.26,0.335,4.06222222222222,20.6533333333333,2.373570014,0.790673923333333,17.4322222222222,"PA31",11.64751539,2.144964714,12.7788
"12",2,"A",2,1504.53110608304,664952.363224719,2625.19482397997,26.6331666666667,1.8908382840127,28.692,0.36,0.26,0.335,4.06222222222222,20.6533333333333,2.373570014,0.790673923333333,17.4322222222222,"PA32",12.23679467,1.965085505,14.8
"13",2,"A",2,1504.53110608304,664952.363224719,2625.19482397997,26.6331666666667,1.8908382840127,28.692,0.36,0.26,0.335,4.06222222222222,20.6533333333333,2.373570014,0.790673923333333,17.4322222222222,"PA33",9.304416652,1.330541332,9.2276
"14",2,"A",2,1504.53110608304,664952.363224719,2625.19482397997,26.6331666666667,1.8908382840127,28.692,0.36,0.26,0.335,4.06222222222222,20.6533333333333,2.373570014,0.790673923333333,17.4322222222222,"PA34",6.946787903,0.885957223,6.9811
"15",2,"A",2,1504.53110608304,664952.363224719,2625.19482397997,26.6331666666667,1.8908382840127,28.692,0.36,0.26,0.335,4.06222222222222,20.6533333333333,2.373570014,0.790673923333333,17.4322222222222,"PA35",9.997103463,1.669405479,6.6211
"16",2,"A",2,1504.53110608304,664952.363224719,2625.19482397997,26.6331666666667,1.8908382840127,28.692,0.36,0.26,0.335,4.06222222222222,20.6533333333333,2.373570014,0.790673923333333,17.4322222222222,"PA36",13.43260843,1.54547538,5.4641
"17",3,"A",3,3236.38594869217,1516543.8536469,4652.88004538643,26.8250777160983,0.342214793640478,27.579,0.085,0.255,0.335,5.86222222222222,17.9577777777778,1.579760175,0.670386543,17.34,"PA37",4.349761555,1.078099409,7.9528
"18",3,"A",3,3236.38594869217,1516543.8536469,4652.88004538643,26.8250777160983,0.342214793640478,27.579,0.085,0.255,0.335,5.86222222222222,17.9577777777778,1.579760175,0.670386543,17.34,"PA38",3.665173428,0.714411339,6.5059
"19",3,"A",3,3236.38594869217,1516543.8536469,4652.88004538643,26.8250777160983,0.342214793640478,27.579,0.085,0.255,0.335,5.86222222222222,17.9577777777778,1.579760175,0.670386543,17.34,"PA40",3.515215802,0.911692822,5.2863
"20",3,"A",3,3236.38594869217,1516543.8536469,4652.88004538643,26.8250777160983,0.342214793640478,27.579,0.085,0.255,0.335,5.86222222222222,17.9577777777778,1.579760175,0.670386543,17.34,"PA41",5.79016018,0.682682049,5.0608
"21",3,"A",3,3236.38594869217,1516543.8536469,4652.88004538643,26.8250777160983,0.342214793640478,27.579,0.085,0.255,0.335,5.86222222222222,17.9577777777778,1.579760175,0.670386543,17.34,"PA42",2.886704717,0.747538966,6.317
"22",3,"A",3,3236.38594869217,1516543.8536469,4652.88004538643,26.8250777160983,0.342214793640478,27.579,0.085,0.255,0.335,5.86222222222222,17.9577777777778,1.579760175,0.670386543,17.34,"PA43",8.841941729,1.183667234,9.4052
"23",3,"A",3,3236.38594869217,1516543.8536469,4652.88004538643,26.8250777160983,0.342214793640478,27.579,0.085,0.255,0.335,5.86222222222222,17.9577777777778,1.579760175,0.670386543,17.34,"PA45",4.09943984,1.191438038,11.9118
"24",4,"B",1,1901.75752514872,1176652.10664164,3414.74721944229,27.8832065592635,0.292215818563745,28.692,1.49,0.76,0.355,4.15555555555556,19.4388888888889,3.438532719,0.893594701666667,14.38,"PA10",6.053941255,0.605336676,7.5065
"25",4,"B",1,1901.75752514872,1176652.10664164,3414.74721944229,27.8832065592635,0.292215818563745,28.692,1.49,0.76,0.355,4.15555555555556,19.4388888888889,3.438532719,0.893594701666667,14.38,"PA11",4.488429447,0.684645433,6.979
"26",4,"B",1,1901.75752514872,1176652.10664164,3414.74721944229,27.8832065592635,0.292215818563745,28.692,1.49,0.76,0.355,4.15555555555556,19.4388888888889,3.438532719,0.893594701666667,14.38,"PA12",4.325786487,0.697095388,5.3483
"27",4,"B",1,1901.75752514872,1176652.10664164,3414.74721944229,27.8832065592635,0.292215818563745,28.692,1.49,0.76,0.355,4.15555555555556,19.4388888888889,3.438532719,0.893594701666667,14.38,"PA13",4.987303075,0.47090848,5.1301
"28",4,"B",1,1901.75752514872,1176652.10664164,3414.74721944229,27.8832065592635,0.292215818563745,28.692,1.49,0.76,0.355,4.15555555555556,19.4388888888889,3.438532719,0.893594701666667,14.38,"PA14",5.446920667,0.951011748,6.0404
"29",4,"B",1,1901.75752514872,1176652.10664164,3414.74721944229,27.8832065592635,0.292215818563745,28.692,1.49,0.76,0.355,4.15555555555556,19.4388888888889,3.438532719,0.893594701666667,14.38,"PA16",7.54398024,1.196002196,7.3631
"30",4,"B",1,1901.75752514872,1176652.10664164,3414.74721944229,27.8832065592635,0.292215818563745,28.692,1.49,0.76,0.355,4.15555555555556,19.4388888888889,3.438532719,0.893594701666667,14.38,"PA17",8.116268376,0.813182993,7.5336
"31",4,"B",1,1901.75752514872,1176652.10664164,3414.74721944229,27.8832065592635,0.292215818563745,28.692,1.49,0.76,0.355,4.15555555555556,19.4388888888889,3.438532719,0.893594701666667,14.38,"PA18",6.940086629,0.725997527,7.6007
"32",5,"B",2,2610.66509808298,1409192.34088792,4131.70513346622,27.0607100529101,0.43559833092059,27.998,0.515,0.515,0.325,5.91555555555556,24.3488888888889,2.14957416833333,0.858444992333333,17.4177777777778,"PA19",4.754585512,0.809657782,7.0815
"33",5,"B",2,2610.66509808298,1409192.34088792,4131.70513346622,27.0607100529101,0.43559833092059,27.998,0.515,0.515,0.325,5.91555555555556,24.3488888888889,2.14957416833333,0.858444992333333,17.4177777777778,"PA20",7.628557374,0.615773605,7.9381
"34",5,"B",2,2610.66509808298,1409192.34088792,4131.70513346622,27.0607100529101,0.43559833092059,27.998,0.515,0.515,0.325,5.91555555555556,24.3488888888889,2.14957416833333,0.858444992333333,17.4177777777778,"PA21",4.915289903,1.424939148,9.1132
"35",5,"B",2,2610.66509808298,1409192.34088792,4131.70513346622,27.0607100529101,0.43559833092059,27.998,0.515,0.515,0.325,5.91555555555556,24.3488888888889,2.14957416833333,0.858444992333333,17.4177777777778,"PA22",5.748702146,1.523257748,8.8274
"36",5,"B",2,2610.66509808298,1409192.34088792,4131.70513346622,27.0607100529101,0.43559833092059,27.998,0.515,0.515,0.325,5.91555555555556,24.3488888888889,2.14957416833333,0.858444992333333,17.4177777777778,"PA23",8.590142897,1.078964194,9.9888
"37",5,"B",2,2610.66509808298,1409192.34088792,4131.70513346622,27.0607100529101,0.43559833092059,27.998,0.515,0.515,0.325,5.91555555555556,24.3488888888889,2.14957416833333,0.858444992333333,17.4177777777778,"PA25",7.449834471,0.957184857,7.9793
"38",5,"B",2,2610.66509808298,1409192.34088792,4131.70513346622,27.0607100529101,0.43559833092059,27.998,0.515,0.515,0.325,5.91555555555556,24.3488888888889,2.14957416833333,0.858444992333333,17.4177777777778,"PA26",1.974165956,0.998787663,8.5392
"39",5,"B",2,2610.66509808298,1409192.34088792,4131.70513346622,27.0607100529101,0.43559833092059,27.998,0.515,0.515,0.325,5.91555555555556,24.3488888888889,2.14957416833333,0.858444992333333,17.4177777777778,"PA27",3.254240854,1.382389979,16.749
"40",6,"B",3,3265.01161115698,1527697.41589756,4710.67330373847,27.1404063241107,0.20120682811341,27.776,0.225,0.355,0.4,5.11,22.85,2.00810310766667,0.747416023,15.2322222222222,"PA46",7.776172297,1.354197268,11.5084
"41",6,"B",3,3265.01161115698,1527697.41589756,4710.67330373847,27.1404063241107,0.20120682811341,27.776,0.225,0.355,0.4,5.11,22.85,2.00810310766667,0.747416023,15.2322222222222,"PA48",6.747514963,0.560939533,10.1078
"42",6,"B",3,3265.01161115698,1527697.41589756,4710.67330373847,27.1404063241107,0.20120682811341,27.776,0.225,0.355,0.4,5.11,22.85,2.00810310766667,0.747416023,15.2322222222222,"PA49",4.384257085,1.014856093,12.0952
"43",6,"B",3,3265.01161115698,1527697.41589756,4710.67330373847,27.1404063241107,0.20120682811341,27.776,0.225,0.355,0.4,5.11,22.85,2.00810310766667,0.747416023,15.2322222222222,"PA50",4.855067486,1.466129792,10.0585
"44",6,"B",3,3265.01161115698,1527697.41589756,4710.67330373847,27.1404063241107,0.20120682811341,27.776,0.225,0.355,0.4,5.11,22.85,2.00810310766667,0.747416023,15.2322222222222,"PA51",6.949470942,1.217668508,9.2163
"45",6,"B",3,3265.01161115698,1527697.41589756,4710.67330373847,27.1404063241107,0.20120682811341,27.776,0.225,0.355,0.4,5.11,22.85,2.00810310766667,0.747416023,15.2322222222222,"PA52",7.634110285,1.313440451,12.5425
"46",6,"B",3,3265.01161115698,1527697.41589756,4710.67330373847,27.1404063241107,0.20120682811341,27.776,0.225,0.355,0.4,5.11,22.85,2.00810310766667,0.747416023,15.2322222222222,"PA53",5.405101112,1.000282102,7.3149
"47",6,"B",3,3265.01161115698,1527697.41589756,4710.67330373847,27.1404063241107,0.20120682811341,27.776,0.225,0.355,0.4,5.11,22.85,2.00810310766667,0.747416023,15.2322222222222,"PA54",4.395133553,1.09977243,8.0978
